Recall Rate,,,,,,,,,,,,
,,,,,,,,,,,,
,TP,FN,TP + FN,Recall Rate,,,RF,PN ,PP,Total Predicted,,"58,    29],"
RF,15536,1582,17118,90.76%,,,Total Negative,58,29,87,,"       [ 1582, 15536]]"
EEC,16143,975,17118,94.30%,,,Total Positive,1582,15536,17118,,
,,,,,,,Total Actual,1640,15565,17205,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,EEC,PN ,PP,Total Predicted,,
,,,,,,,Total Negative,78,9,87,,
,,,,,,,Total Positive,975,16143,17118,,
,,,,,,,Total Actual,1053,16152,17205,,
,,,,,,,,,,,,
Accuracy Score,,,,,,,,,,,,
,,,,,,,,,,,,
RF,0.787124664,,,,,,,,,,,
EEC,0.919797068,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Geo,,,,,,,,,,,,
RF,0.78,,,,,,,,,,,
EEC,0.92,,,,,,,,,,,
